decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in
0,3.1848707970641756,0.0,4.153806508455752,4.153806508455752,624.7756428296784,4.153806508455752,2.552916323783472,1.600890184672279,67.72114391978559,304.88698278258676,372.6081267023723,4.430302834256587,50.06242202709944,0.08821712518106968,0.0,0.08821712518106968,372.6081267023723,10.012484405419888,44.10856259053484,318.48707970641755,0.125,0.125,-1,-3.023604670082616,-32.41881800397008,7.0,7.0,7.077914549999996,6.969511572134898,0.249637226034726,0.08820358892963584,0.0,3.023604670082616,0.0,32.41881800397008,496.0838236669041,2343.7019214104175,0.006648477027117606,0.38540316729087054,73.39941862047245
1,2.067180614895402,0.0,7.648237815604314,7.648237815604314,624.7756428296784,7.648237815604314,1.3191768093100082,6.329061006294306,73.23824138217003,175.73249951716284,248.9707408993329,0.5192397912301584,7.718733606230776,0.08141786537709306,0.0,0.08141786537709306,248.9707408993329,1.5437467212461553,40.708932688546525,206.71806148954022,0.25,0.25,-1,-3.0728532405974813,1.081065089243786,7.0,7.0,7.03228163916454,7.03989751583341,0.4238809660692563,0.039826628749287635,0.0,3.0728532405974813,1.081065089243786,0.0,652.2056998879942,949.667753846702,0.012241574881127877,0.8275188558312664,22.9768613050479
2,1.508215512490018,0.0,11.620621209630228,11.620621209630228,624.7756428296784,11.620621209630228,0.5986012167158032,11.022019992914425,86.76333959228947,105.92570686666848,192.68904645895793,0.7900825464323232,8.927932774685251,0.08016381731003813,0.0,0.08016381731003813,192.68904645895793,1.7855865549370504,40.08190865501906,150.8215512490018,0.375,0.375,-1,-1.3707398400801414,-4.949920531378445,7.0,7.0,7.044079931766875,7.016802351169802,0.6029931443935818,0.018775355765730542,0.0,1.3707398400801414,0.0,4.949920531378445,735.7236038012173,699.4965110810173,0.01859967068658301,0.9484880191930074,9.11532223241954
3,1.1960398971173618,0.0,15.563188659279025,15.563188659279025,624.7756428296784,15.563188659279025,0.30988911783787076,15.253299541441155,97.45141781400889,62.860490784790954,160.31190859879985,0.4968921003724468,5.61488073420865,0.07916988548044386,0.0,0.07916988548044386,160.31190859879985,1.12297614684173,39.58494274022193,119.60398971173619,0.5,0.5,-1,-1.8521667928717225,-2.122970010107852,7.0,7.0,7.024200550559678,7.012632450648082,0.7761659504460185,0.010974819444928608,0.0,1.8521667928717225,0.0,2.122970010107852,809.1582306683258,399.12885262376346,0.024910043849967662,0.9800883273587313,4.039049590734899
4,1.0544023942940217,0.0,19.323451616659725,19.323451616659725,624.7756428296784,19.323451616659725,0.20598050036614812,19.117471116293576,103.51450092945973,41.79857802438096,145.3130789538407,0.34255577031846274,3.870880204598629,0.07819732696703761,0.0,0.07819732696703761,145.3130789538407,0.7741760409197258,39.098663483518806,105.44023942940217,0.625,0.625,-1,-1.118658864649233,-1.6217872978984686,7.0,7.0,7.023794695073012,7.007888601361467,0.9415435983933732,0.008189118157109787,0.0,1.118658864649233,0.0,1.6217872978984686,847.4873502954013,284.9748762291141,0.030928625080743642,0.989340387812053,2.1631010263375665
5,1.0131357634182034,0.0,22.93907190405693,22.93907190405693,624.7756428296784,22.93907190405693,0.1690895256907483,22.769982378366176,108.47712934800961,32.05889902478835,140.53602837279797,0.2709309737142514,3.061520002971042,0.07722029606076682,0.0,0.07722029606076682,140.53602837279797,0.6123040005942084,38.61014803038341,101.31357634182035,0.75,0.75,-1,-1.1220610703351883,-1.0453867193788229,7.0,7.0,7.0115225716002545,7.006311991896306,1.1005918729613227,0.007228540148606829,0.0,1.1220610703351883,0.0,1.0453867193788229,883.8464649029495,229.0065915376996,0.03671569493356579,0.9926287547117,1.3975673976207608
6,1.0116882588664295,0.0,26.416454131107574,26.416454131107574,624.7756428296784,26.416454131107574,0.15752951179954158,26.25892461930803,111.81713619422479,27.992977735210047,139.8101139294348,0.19049002332278925,2.152537263547518,0.07642156118016469,0.0,0.07642156118016469,139.8101139294348,0.43050745270950364,38.210780590082344,101.16882588664296,0.875,0.875,-1,-0.6665500423968591,-0.8573701441854543,7.0,7.0,7.0090568433847364,7.0054984670322025,1.2542596928295202,0.006988469495167959,0.0,0.6665500423968591,0.0,0.8573701441854543,906.0972804069722,209.4548438065058,0.04228150446368958,0.9940366897458035,1.059679607122062
7,1.0321653067393377,0.0,29.793769455741455,29.793769455741455,624.7756428296784,29.793769455741455,0.1563663626518207,29.637403093089638,114.74934712137522,26.665036032165595,141.41438315354085,0.16785694559937175,1.8967834852729015,0.07563699156510499,0.0,0.07563699156510499,141.41438315354085,0.3793566970545803,37.818495782552496,103.21653067393376,1.0,1.0,-1,-0.5803455366986798,-0.7625100280962944,7.0,7.0,7.000530167545975,7.005269114277296,1.4036092040339336,0.007057317205030953,0.0,0.5803455366986798,0.0,0.7625100280962944,928.2577768037796,204.84378279533055,0.047687149455446366,0.9947517093168053,0.8949869895374071
8,1.0574608521046793,0.0,33.07734490674857,33.07734490674857,624.7756428296785,33.07734490674857,0.15978242064101014,32.91756248610756,116.8706826794384,26.67357746696441,143.54426014640282,0.12466293336163098,1.4086911469864305,0.07503287341307521,0.0,0.07503287341307521,143.54426014640282,0.2817382293972861,37.516436706537604,105.74608521046792,1.125,1.125,-1,-0.2579601346859872,-0.7393433322070607,7.0,7.0,6.998310323981092,7.005278598118532,1.5492569282957833,0.007265523983575664,0.0,0.2579601346859872,0.0,0.7393433322070607,942.5556034635462,208.64478450919054,0.052942756790161645,0.9951694302825252,0.8064001975419243
9,1.0684683822208347,0.0,36.300026349963844,36.300026349963844,624.7756428296785,36.300026349963844,0.16531189766276752,36.134714452301075,118.25221811739853,26.437361859107988,144.6895799765065,0.09880140894948565,1.193216579863076,0.07520819687690088,0.0,0.07520819687690088,144.6895799765065,0.23864331597261523,37.604098438450436,106.84683822208346,1.25,1.25,-1,0.044823742326357906,-0.7455875292695273,7.0,7.0,7.002504264094644,7.005425077077445,1.6929819639331156,0.007539823823394334,0.044823742326357906,0.0,0.0,0.7455875292695273,951.1331858867818,215.3550209490315,0.05810089872511191,0.9954459565381849,0.7283014509198646
10,1.1115522892215493,0.0,39.47798623472773,39.47798623472773,624.7756428296785,39.47798623472773,0.17185443198731995,39.30613180274039,120.10566622410511,28.537341662807524,148.64300788691264,0.10820237859055992,1.2226868780733275,0.07448648317828611,0.0,0.07448648317828611,148.64300788691264,0.24453737561466551,37.243241589143054,111.15522892215492,1.375,1.375,-1,-0.09678176105745424,-0.7688372676670251,7.0,7.0,6.990074121742007,7.00568193305945,1.8338101502891306,0.00784455922884572,0.0,0.09678176105745424,0.0,0.7688372676670251,967.7892669648302,243.61081348371226,0.06318746047129419,0.995646828818331,0.7228672073882022
